Stations_id, von_datum,bis_datum,Stationshoehe, geoBreite,geoLaenge ,Stationsname, Bundesland, Abgabe
5782,19480701,20071031,125,51.219,12.2674,Zwenkau-Zitzschen,Sachsen,Frei
5783,19480501,20061231,180,51.2271,15.0069,Neißeaue,Sachsen,Frei
5784,19690101,20241030,82,51.6241,12.1063,Zörbig,Sachsen-Anhalt,Frei
5785,19310101,20241030,549,48.6618,10.3106,Syrgenstein-Altenberg,Bayern,Frei
5786,19410101,20051231,556,48.0916,11.8289,Zorneding,Bayern,Frei
5787,18970901,20040930,36,52.2364,13.4502,Zossen,Brandenburg,Frei
5788,19690101,20061231,86,51.7404,12.4153,Zschornewitz,Sachsen-Anhalt,Frei
5789,19690101,20011231,106,51.4737,12.3434,Zschortau-Brodenaundorf,Sachsen,Frei
5790,19690101,20200131,2,54.2591,13.3539,Zudar,Mecklenburg-Vorpommern,Frei
5791,19000607,20241030,189,50.6575,6.6945,Zülpich-Enzen,Nordrhein-Westfalen,Frei
5792,19010101,20241030,2956,47.421,10.9848,Zugspitze,Bayern,Frei
5793,19410101,20241030,443,48.424,10.5924,Zusmarshausen,Bayern,Frei
5794,19310101,20041231,330,49.272,7.3609,Zweibrücken,Rheinland-Pfalz,Frei
5795,19510101,20240101,250,51.0547,9.1682,"Zwesten, Bad",Hessen,Frei
5797,18631203,20241030,349,50.6879,12.4329,Lichtentanne,Sachsen,Frei
5798,19831001,20241030,529,48.2198,9.4862,Zwiefalten,Baden-Württemberg,Frei
5800,20000901,20241030,615,49.028,13.2385,Zwiesel,Bayern,Frei
5801,19310101,20041231,690,49.0354,13.1992,Zwiesel-Rabenstein,Bayern,Frei
5802,19480101,20030930,615,49.0007,13.2137,Zwieselberg,Bayern,Frei
5803,19310101,20151231,699,49.0923,13.2487,Zwieslerwaldhaus,Bayern,Frei
5804,19510101,20091231,189,51.5498,10.3779,Zwinge,Thüringen,Frei
5805,19510101,20241030,11,53.2,7.9864,"Zwischenahn, Bad",Niedersachsen,Frei
5806,19250801,20070228,8,53.1667,8.1,"Zwischenahn, Bad-Westerholtsfelde",Niedersachsen,Frei
5807,19450401,20061231,497,50.6413,12.819,Zwönitz,Sachsen,Frei
5808,19450401,20021231,695,50.3574,12.3857,Zwota,Sachsen,Frei
5814,19020101,20240531,321,51.5504,11.403,Mansfeld-Annarode,Sachsen-Anhalt,Frei
5821,19310101,19761231,36,52.8482,8.719,Bassum (A),Niedersachsen,Frei
